name,owners,price,score,positive,negative,recommendations,playtime,genres
"Duke Grabowski, Mighty Swashbuckler",35000,1.99,0,159,27,125,0,"Adventure,Casual,Indie"
Mega Man Legacy Collection,350000,14.99,0,3020,496,2563,108,Action
VERSUS SQUAD,150000,7.99,0,437,115,506,179,"Action,Indie"
Sub Rosa,350000,19.99,0,2290,701,2525,844,"Action,Indie,Massively Multiplayer,Early Access"
Brilliant Shadows - Part One of the Book of Gray Magic,35000,6.99,0,181,9,161,0,"Adventure,Casual,Simulation"
A Valley Without Wind,150000,14.99,0,284,201,185,191,"Action,Adventure,Indie"
Professional Farmer 2014,75000,2.99,0,277,329,181,3839,Simulation
东方幻灵录 ~ Touhou Hakanai Cards,10000,0.0,0,509,78,481,1316,"Casual,Indie,Massively Multiplayer,RPG,Simulation,Strategy"
Predator: Hunting Grounds,75000,29.99,0,1410,381,1432,715,Action
Lethal League,750000,13.99,0,5625,344,2910,164,"Action,Indie,Sports"
Toonstruck,10000,9.99,0,182,7,176,0,Adventure
VERGE:Lost chapter,35000,0.99,0,125,166,135,256,"Action,Adventure,Indie"
EA SPORTS FC™ 24,10000,69.99,0,0,0,22263,0,"Simulation,Sports"
Tiny Bunny,150000,12.99,0,8339,108,7875,498,"Adventure,Indie,Early Access"
"Warhammer 40,000: Darktide",750000,39.99,0,4486,2104,7260,318,"Action,Adventure,Indie"
Zoop! - Hunter's Grimm,350000,1.99,0,154,113,223,193,"Action,Adventure,Indie,RPG"
Capes,35000,35.99,0,90,61,143,0,"Indie,Strategy"
World Boxing Manager,10000,4.99,0,74,50,122,405,"Simulation,Sports,Strategy"
World Seed Classic,35000,5.99,0,100,9,103,0,"Free to Play,Indie,Massively Multiplayer,RPG,Strategy"
POPGOES Arcade,10000,4.99,0,472,7,458,0,RPG
Conan Chop Chop,75000,9.89,0,280,124,330,0,"Action,Adventure,Indie"
TrackDayR,10000,24.99,0,128,43,142,0,"Indie,Massively Multiplayer,Racing,Simulation,Sports,Early Access"
Spring Falls,35000,6.99,0,498,16,499,302,"Casual,Indie"
A Long Way Down,10000,17.99,0,149,63,101,24,"Indie,RPG,Strategy"
Starward Rogue,75000,11.99,0,431,35,264,60,"Action,Indie"
Rick and Morty: Virtual Rick-ality,350000,29.99,0,1344,441,1675,166,"Adventure,Indie,Simulation"
Radical Dungeon Sweeper,10000,12.99,0,149,34,162,0,"Casual,Indie,RPG,Strategy"
Симулятор Прыгания по Гаражам,10000,0.59,0,10,3,102,0,Simulation
Jupiter Hell,35000,24.99,0,1219,94,1079,391,"Indie,RPG,Strategy"
CHRONO CROSS: THE RADICAL DREAMERS EDITION,75000,19.99,0,706,585,1090,133,"Adventure,RPG"
Fake Hostel,150000,4.99,0,214,115,289,242,"Adventure,Casual,Simulation"
THE KING OF FIGHTERS XIII STEAM EDITION,750000,19.99,0,7935,842,6691,178,Action
Noob Squad,75000,0.99,0,212,276,382,305,"Action,Casual,Indie,Massively Multiplayer"
ARK: Survival Of The Fittest,1500000,0.0,0,6112,3554,3127,17,"Action,Adventure,Indie,Massively Multiplayer,RPG,Strategy"
The Legend of The Sacred Stone EX,75000,7.99,0,219,14,219,0,"Adventure,RPG"
Godlike Burger,35000,11.99,0,264,86,307,234,"Indie,Simulation,Strategy"
Codename: Ocean Keeper,10000,6.39,0,154,24,163,0,"Action,Adventure,Indie,Simulation,Early Access"
